instance,file,clauses,proof_width,proof_size,formula_size,herbrand_function_size,time_s,communication_kb
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-003,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-003/biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf00.01X-QBF.BB1-01X.BB2-01X.BB3-01X.with-IOC.unfold-003_renamed_prover.result,4263,33,140679,3527,2321,11.1532,134517.580078125
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004/biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.conf04.01X-QBF.BB1-01X.BB2-01X.BB3-Zi.with-IOC.unfold-004_renamed_prover.result,15291,16,244656,13399,6091,21.3274,391236.3876953125
biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008/biu.mv.xl_ao.bb-b003-p020-IPF01-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-008_renamed_prover.result,85067,29,2466943,71966,24894,128.288,2080689.6455078125
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-009,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-009/biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-009_renamed_prover.result,106373,23,2446579,91292,31612,136.402,2501258.2861328125
biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-010,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-010/biu.mv.xl_ao.bb-b003-p020-IPF02-c05.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-010_renamed_prover.result,134083,26,3486158,115202,39722,182.886,3190364.4111328125
biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-010,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-010/biu.mv.xl_ao.bb-b003-p020-IPF03-c03.blif-biu.inv.prop.bb-bmc.with-IOC.unfold-010_renamed_prover.result,147525,19,2802975,125093,42959,173.19,3385370.1220703125
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008/biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf01.01X-QBF.BB1-Zi.BB2-01X.BB3-01X.with-IOC.unfold-008_renamed_prover.result,58493,7,409451,54967,21595,48.0121,1301269.9345703125
biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-007,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-007/biu.mv.xl_ao.bb-b003-p020-MIF04-c05.blif-biu.inv.prop.bb-bmc.conf02.01X-QBF.BB1-01X.BB2-Zi.BB3-01X.with-IOC.unfold-007_renamed_prover.result,33639,7,235473,31413,13253,31.3965,781181.6845703125
c1_BMC_p2_k4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/c1_BMC_p2_k4/c1_BMC_p2_k4_renamed_prover.result,67265,28,1883420,66304,22848,88.4635,1533312.1298828125
c6_BMC_p2_k256,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/c6_BMC_p2_k256/c6_BMC_p2_k256_renamed_prover.result,94283,10,942830,94251,34936,79.8988,2025409.3251953125
c6_BMC_p2_k512,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/c6_BMC_p2_k512/c6_BMC_p2_k512_renamed_prover.result,182939,10,1829390,182907,68520,154.033,3951930.3720703125
ken.flash^03.C-f4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/ken.flash^03.C-f4/ken.flash^03.C-f4_renamed_prover.result,85644,32,2740608,84332,28159,121.256,1958957.3720703125
ken.flash^10.C-f2,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/ken.flash^10.C-f2/ken.flash^10.C-f2_renamed_prover.result,49307,7,345149,49292,16489,38.1596,989679.8955078125
sortnetsort5.AE.stepl.005,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/sortnetsort5.AE.stepl.005/sortnetsort5.AE.stepl.005_renamed_prover.result,3589,425,1525325,2176,816,73.0555,324040.4580078125
sortnetsort5.AE.stepl.006,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/sortnetsort5.AE.stepl.006/sortnetsort5.AE.stepl.006_renamed_prover.result,4230,509,2153070,2609,977,106.715,433438.0673828125
sortnetsort5.AE.stepl.007,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/sortnetsort5.AE.stepl.007/sortnetsort5.AE.stepl.007_renamed_prover.result,4876,593,2891468,3042,1138,142.266,559308.4345703125
vis.prodcell^08.E-f4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/vis.prodcell^08.E-f4/vis.prodcell^08.E-f4_renamed_prover.result,55901,45,2515545,53471,17823,99.6139,1372748.9970703125
vis.prodcell^09.E-f4,/home/ubuntu/zkqbf-suite/sp2026_zkqbf_artifact_AWS/claims/claim7/benchmark/benchmarks_herbrand_for_every5s/False/vis.prodcell^09.E-f4/vis.prodcell^09.E-f4_renamed_prover.result,54562,20,1091240,53744,17914,59.8512,1173118.5283203125
